Discipline,FC Number,MDD-HC,BIP-HC,SCZ-HC,Combined ES,Title,Net1,Net2,Net3,SigNum,MetaES
,153,0.204,0.024,0.161,0.001,Lt_CONa_IPS-Lt_DMNa_PCC,-0.204037741,-0.024493686,-0.160726495,0,-0.129264188
,154,0.220,0.079,0.172,0.001,Lt_CONa_IPS-Lt_DMNa_PFCm,-0.220206159,-0.079245799,-0.17160574,0,-0.156772974
,155,0.105,0.046,0.204,0.001,Lt_CONa_IPS-Lt_DMNb_Temp,-0.104629871,-0.046208255,-0.204136715,0,-0.118987647
,156,0.153,0.184,0.207,0.001,Lt_CONa_IPS-Lt_DMNb_IPL,-0.152818575,-0.183990123,-0.206534111,0,-0.183663642
,157,0.293,0.070,0.061,0.001,Lt_CONa_IPS-Lt_DMNb_PFCd,-0.293193301,0.069992417,-0.061437281,0,-0.093928657
,158,0.115,0.185,0.121,0.001,Lt_CONa_IPS-Lt_DMNb_PFCl,-0.114956047,-0.184804662,-0.120548187,0,-0.141669291
,159,0.162,0.189,0.164,0.001,Lt_CONa_IPS-Lt_DMNb_PFCv,-0.161874344,-0.189253861,-0.1637798,0,-0.172038412
,160,0.331,0.022,0.015,0.001,Lt_CONa_IPS-Lt_DMNc_IPL,0.331024853,-0.022169295,0.015362027,0,0.107630964
,161,0.127,0.252,0.148,0.001,Lt_CONa_IPS-Lt_DMNc_Rsp,-0.12695457,-0.252057712,-0.147583459,0,-0.175569706
,162,0.102,0.175,0.153,0.001,Lt_CONa_IPS-Lt_DMNc_PHC,-0.101643439,-0.174941471,-0.152630979,0,-0.1459139
,163,0.271,0.149,0.323,0.001,Lt_CONa_IPS-Rt_DMNa_Temp,-0.27118892,-0.148794467,-0.322922293,0,-0.247961567
,164,0.124,0.108,0.260,0.001,Lt_CONa_IPS-Rt_DMNa_IPL,-0.123506643,-0.108280837,-0.260308951,0,-0.165468119
,165,0.070,0.073,0.051,0.001,Lt_CONa_IPS-Rt_DMNa_PFCd,-0.069767155,0.072539032,-0.050934372,0,-0.015036219
,166,0.111,0.032,0.134,0.001,Lt_CONa_IPS-Rt_DMNa_PCC,-0.110975348,0.03228538,-0.133590522,0,-0.070566593
,167,0.299,0.079,0.281,0.001,Lt_CONa_IPS-Rt_DMNb_PFCm,-0.299491917,-0.078951529,-0.281181776,0,-0.219497926
,168,0.180,0.021,0.238,0.001,Lt_CONa_IPS-Rt_DMNb_Temp,-0.180013338,0.021008926,-0.237816169,0,-0.132209691
,169,0.300,0.236,0.314,0.001,Lt_CONa_IPS-Rt_DMNb_AntTemp,-0.299590047,-0.235606659,-0.313838072,0,-0.281865053
,170,0.027,0.203,0.019,0.001,Lt_CONa_IPS-Rt_DMNb_PFCd,-0.026621008,0.202598914,-0.018804337,0,0.053226847
,171,0.145,0.011,0.228,0.001,Lt_CONa_IPS-Rt_DMNb_PFCv,-0.145383184,-0.010574023,-0.22761066,0,-0.128700082
,172,0.120,0.110,0.257,0.001,Lt_CONa_IPS-Rt_DMNc_IPL,-0.12036601,-0.110043201,-0.25740032,0,-0.163752729
,173,0.227,0.293,0.274,0.001,Lt_CONa_IPS-Rt_DMNc_Rsp,-0.226985625,-0.29253449,-0.274288377,0,-0.266864743
,174,0.081,0.161,0.160,0.001,Lt_CONa_IPS-Rt_DMNc_PHC,-0.081363203,-0.160656898,-0.159530265,0,-0.136299054
,175,0.357,0.192,0.060,0.001,Lt_CONa_IPS-Lt_DANa_TempOcc,-0.356991763,-0.192296054,-0.059856027,0,-0.200812625
,176,0.167,0.055,0.300,0.001,Lt_CONa_IPS-Lt_DANa_ParOcc,-0.166640079,-0.055108317,-0.299516377,0,-0.174836267
,177,0.395,0.138,0.022,0.001,Lt_CONa_IPS-Lt_DANa_SPL,-0.395398968,-0.138172009,-0.02153848,0,-0.183781669
,178,0.154,0.141,0.070,0.001,Lt_CONa_IPS-Lt_DANb_TempOcc,-0.154037208,-0.141257168,-0.070079765,0,-0.119361415
,179,0.495,0.065,0.131,0.001,Lt_CONa_IPS-Lt_DANb_PostC,-0.494638307,0.065293236,-0.130758214,0,-0.186043005
,180,0.220,0.154,0.259,0.001,Lt_CONa_IPS-Lt_DANb_FEF,-0.220443868,-0.154194774,-0.259383415,0,-0.211845205
,181,0.161,0.178,0.060,0.001,Lt_CONa_IPS-Lt_DANb_PrCv,0.161258531,0.178071198,0.060415883,0,0.130868711
,182,0.073,0.044,0.065,0.001,Lt_CONa_IPS-Rt_DANa_TempOcc,-0.073326207,-0.043653433,0.06507104,0,-0.014664874
,183,0.055,0.024,0.193,0.001,Lt_CONa_IPS-Rt_DANa_ParOcc,-0.054639571,0.023840337,-0.192925008,0,-0.075694369
,184,0.315,0.169,0.027,0.001,Lt_CONa_IPS-Rt_DANa_SPL,-0.314860067,-0.169029036,-0.027264351,0,-0.169465033
,185,0.086,0.051,0.277,0.001,Lt_CONa_IPS-Rt_DANb_TempOcc,-0.08561364,-0.051264845,-0.276692485,0,-0.13923619
,186,0.150,0.127,0.026,0.001,Lt_CONa_IPS-Rt_DANb_PostC,-0.149737108,0.127046357,-0.026034592,0,-0.015821827
,187,0.189,0.039,0.164,0.001,Lt_CONa_IPS-Rt_DANb_FEF,-0.189468237,-0.039454031,-0.164361117,0,-0.13099428
,188,0.233,0.114,0.107,0.001,Lt_CONa_IPS-Rt_DANb_PrCv,-0.232746901,-0.114125606,-0.106705997,0,-0.14808481
,189,0.044,0.115,0.183,0.001,Lt_CONa_IPS-Lt_LMN_TempPole,0.044000988,-0.114844361,-0.183288327,0,-0.085303599
